datetime,open,high,low,close,volume,Ticker
2021-01-22,227.080002,230.070007,225.80000,225.95000,30172700,MSFT
2021-01-25,229.12000,229.78000,224.22000,229.53000,33152100,MSFT
2021-01-26,231.86000,234.17999,230.080002,232.33000,49169600,MSFT
2021-01-27,238,240.44000,230.14000,232.89999,69870600,MSFT
2021-01-28,235.61000,242.64000,235.089996,238.92999,49111200,MSFT
2021-01-29,235.99001,238.020004,231.35001,231.96001,42503100,MSFT
2021-02-01,235.059998,242.5,232.42999,239.64999,33314200,MSFT
2021-02-02,241.30000,242.31000,238.69000,239.50999,25916300,MSFT
2021-02-03,239.57001,245.089996,239.25999,243,27158100,MSFT
2021-02-04,242.66000,243.24001,240.37000,242.0099945,25296100,MSFT
2021-02-05,242.23000,243.28000,240.42000,242.20000,18054800,MSFT
2021-02-08,243.14999,243.67999,240.81000,242.47000,22211900,MSFT
2021-02-09,241.87000,244.75999,241.38000,243.77000,23565000,MSFT
2021-02-10,245,245.92000,240.89000,242.82001,22186700,MSFT
2021-02-11,244.78000,245.14999,242.14999,244.49001,15751100,MSFT
2021-02-12,243.92999,245.30000,242.73000,244.99001,16561100,MSFT
2021-02-16,245.029999,246.13000,242.92000,243.70000,26728500,MSFT
2021-02-17,241.32001,244.31000,240.94000,244.20000,21653500,MSFT
2021-02-18,241.80000,243.92999,240.86000,243.78999,16925600,MSFT
2021-02-19,243.75,243.86000,240.17999,240.97000,25262600,MSFT
2021-02-22,237.42000,237.92999,232.39999,234.50999,36446900,MSFT
2021-02-23,230.33000,234.83000,228.73000,233.27000,30228700,MSFT
2021-02-24,230.0099945,235.20000,229,234.55000,26339700,MSFT
2021-02-25,232.080002,234.59000,227.88000,228.99001,39542200,MSFT
2021-02-26,231.53000,235.37000,229.53999,232.38000,37819200,MSFT
2021-03-01,235.89999,237.47000,233.14999,236.94000,25324000,MSFT
2021-03-02,237.0099945,237.30000,233.45000,233.87000,22812500,MSFT
2021-03-03,232.16000,233.58000,227.25999,227.56000,34029500,MSFT
2021-03-04,226.74001,232.49001,224.25999,226.73000,44727800,MSFT
2021-03-05,229.52000,233.27000,226.46001,231.60001,41872800,MSFT
2021-03-08,231.37000,233.37000,227.13000,227.39000,35267400,MSFT
